month,day,hour,usage
5,5,2,0.6249499999999999
5,5,3,0.4263833333333334
5,5,4,0.38648333333333323
5,5,5,2.0320500000000004
5,5,6,0.29968333333333336
5,5,7,0.5362666666666666
5,5,8,0.41263333333333335
5,5,9,0.4559166666666667
5,5,10,0.5946500000000001
5,5,11,0.4338166666666668
5,5,12,0.962033333333333
5,5,13,1.6638499999999998
5,5,14,1.7985666666666669
5,5,15,1.758233333333334
5,5,16,1.6653833333333339
5,5,17,1.8500666666666665
5,5,18,1.9082833333333336
5,5,19,4.564949999999999
5,5,20,2.38765
5,5,21,5.153216666666667
5,5,22,2.2850666666666672
5,5,23,2.0472166666666656
5,6,0,1.613466666666666
5,6,1,0.727983333333333
5,6,2,0.7028166666666665
5,6,3,0.6649999999999997
5,6,4,1.2243666666666668
5,6,5,1.7915999999999992
5,6,6,0.4623666666666667
5,6,7,0.49578333333333313
5,6,8,0.7740500000000001
5,6,9,0.9743999999999998
5,6,10,0.9077333333333333
5,6,11,1.0746
5,6,12,1.1587833333333328
5,6,13,0.6920333333333333
5,6,14,0.7024000000000002
5,6,15,0.74695
5,6,16,0.7324499999999998
5,6,17,0.842916666666667
5,6,18,1.0473499999999998
5,6,19,1.36705
5,6,20,2.4818666666666664
5,6,21,2.1149999999999998
5,6,22,1.7856666666666667
5,6,23,1.4751000000000003
5,7,0,2.23
5,7,1,1.8623166666666668
5,7,2,1.3104833333333334
5,7,3,1.03905
5,7,4,0.7954000000000004
5,7,5,0.81565
5,7,6,0.7534000000000003
5,7,7,0.7339166666666668
5,7,8,0.8005166666666664
5,7,9,0.7922333333333336
5,7,10,0.8612999999999998
5,7,11,0.7864333333333332
5,7,12,0.9776999999999995
5,7,13,0.9640833333333331
5,7,14,1.2897166666666666
5,7,15,1.5839333333333332
5,7,16,1.4680666666666673
5,7,17,1.7359666666666669
5,7,18,1.766233333333333
5,7,19,1.8573999999999997
5,7,20,1.74245
5,7,21,1.5525999999999998
5,7,22,1.7029500000000002
5,7,23,1.4270666666666671
5,8,0,1.8576000000000006
5,8,1,1.208383333333333
5,8,2,1.1159666666666672
5,8,3,0.9387499999999995
5,8,4,3.791716666666667
5,8,5,1.8294333333333346
5,8,6,0.7683166666666664
5,8,7,0.7501500000000002
5,8,8,0.9276833333333331
5,8,9,0.886
5,8,10,1.1159333333333337
5,8,11,0.9762499999999998
5,8,12,1.158
5,8,13,1.037583333333333
5,8,14,0.8290000000000001
5,8,15,1.8223833333333332
5,8,16,1.0358666666666665
5,8,17,1.7757166666666668
5,8,18,5.277583333333334
5,8,19,2.08995
5,8,20,1.9829333333333345
5,8,21,2.3718833333333325
5,8,22,4.114083333333334
5,8,23,2.3615666666666666
5,9,0,1.5615999999999997
5,9,1,1.06345
5,9,2,0.68385
5,9,3,0.6640999999999998
5,9,4,1.0418999999999996
5,9,5,1.1630333333333327
5,9,6,0.5396500000000001
5,9,7,0.7123666666666665
5,9,8,1.1894499999999997
5,9,9,1.4295999999999998
5,9,10,1.2049999999999998
5,9,11,2.00565
5,9,12,2.9773499999999995
5,9,13,1.7113166666666675
5,9,14,0.9121833333333333
5,9,15,1.260633333333334
5,9,16,1.4027499999999997
5,9,17,1.2251999999999996
5,9,18,1.2694499999999995
5,9,19,1.2289999999999994
5,9,20,1.2682
5,9,21,2.8479000000000014
5,9,22,1.1036333333333332
5,9,23,1.7362333333333326
5,10,0,1.6368333333333334
5,10,1,0.8334333333333336
5,10,2,0.8515499999999999
5,10,3,0.5091833333333334
5,10,4,0.4940999999999998
5,10,5,0.3984333333333335
5,10,6,0.4493833333333334
5,10,7,0.3464499999999999
5,10,8,0.4105666666666667
5,10,9,0.5842166666666667
5,10,10,0.8242333333333332
5,10,11,2.995283333333333
5,10,12,2.3894500000000005
5,10,13,2.2805166666666663
5,10,14,1.9876500000000006
5,10,15,1.6421333333333337
5,10,16,1.2194500000000006
5,10,17,1.37795
5,10,18,1.4486833333333335
5,10,19,1.275133333333333
5,10,20,1.6067
5,10,21,0.9916999999999998
5,10,22,1.1979833333333334
5,10,23,1.4004499999999998
5,11,0,1.4050666666666665
5,11,1,0.9478000000000004
5,11,2,0.8095666666666664
5,11,3,0.5684
5,11,4,0.5346166666666667
5,11,5,0.4999666666666668
5,11,6,0.5024166666666666
5,11,7,0.47923333333333334
5,11,8,0.48795
5,11,9,0.9400833333333336
5,11,10,1.8447333333333336
5,11,11,1.6782333333333337
5,11,12,2.072516666666668
5,11,13,2.8079333333333323
5,11,14,2.0923000000000003
5,11,15,1.4725833333333336
5,11,16,2.1573500000000005
5,11,17,2.61135
5,11,18,3.6604666666666668
5,11,19,3.7959500000000004
5,11,20,5.424049999999999
5,11,21,1.9685666666666666
5,11,22,2.7237666666666667
5,11,23,4.550633333333335
5,12,0,1.5313166666666664
5,12,1,1.1702833333333336
5,12,2,0.9467
5,12,3,0.6946333333333333
5,12,4,0.7506333333333333
5,12,5,0.6650833333333336
5,12,6,0.5837499999999999
5,12,7,1.033683333333333
5,12,8,0.7469999999999999
5,12,9,0.8228666666666663
5,12,10,0.65065
5,12,11,0.6226666666666666
5,12,12,0.9899000000000006
5,12,13,0.8870333333333331
5,12,14,0.8732
5,12,15,0.7489833333333332
5,12,16,0.9088499999999998
5,12,17,1.0074499999999997
5,12,18,1.693233333333333
5,12,19,2.583916666666666
5,12,20,1.432733333333333
5,12,21,1.2380499999999999
5,12,22,1.1375833333333327
5,12,23,1.0943666666666667
5,13,0,0.9860666666666663
5,13,1,0.5466166666666666
